date	artist	song
8/12/78	Commodores	Three Times A Lady
8/5/78	The Rolling Stones	Miss You
7/29/78	Andy Gibb	Shadow Dancing
7/22/78	Andy Gibb	Shadow Dancing
7/15/78	Andy Gibb	Shadow Dancing
7/8/78	Andy Gibb	Shadow Dancing
7/1/78	Andy Gibb	Shadow Dancing
6/24/78	Andy Gibb	Shadow Dancing
6/17/78	Andy Gibb	Shadow Dancing
6/10/78	John Travolta & Olivia Newton-John	You're The One That I Want
6/3/78	Johnny Mathis/Deniece Williams	Too Much, Too Little, Too Late
5/27/78	Wings	With A Little Luck
5/20/78	Wings	With A Little Luck
5/13/78	Yvonne Elliman	If I Can't Have You
5/6/78	Bee Gees	Night Fever
4/29/78	Bee Gees	Night Fever
4/22/78	Bee Gees	Night Fever
4/15/78	Bee Gees	Night Fever
4/8/78	Bee Gees	Night Fever
4/1/78	Bee Gees	Night Fever
3/25/78	Bee Gees	Night Fever
3/18/78	Bee Gees	Night Fever
3/11/78	Andy Gibb	(Love Is) Thicker Than Water
3/4/78	Andy Gibb	(Love Is) Thicker Than Water
2/25/78	Bee Gees	Stayin' Alive
2/18/78	Bee Gees	Stayin' Alive
2/11/78	Bee Gees	Stayin' Alive
2/4/78	Bee Gees	Stayin' Alive
1/28/78	Player	Baby Come Back
1/21/78	Player	Baby Come Back
1/14/78	Player	Baby Come Back
1/7/78	Bee Gees	How Deep Is Your Love
12/31/77	Bee Gees	How Deep Is Your Love
12/24/77	Bee Gees	How Deep Is Your Love
12/17/77	Debby Boone	You Light Up My Life
12/10/77	Debby Boone	You Light Up My Life
12/3/77	Debby Boone	You Light Up My Life
11/26/77	Debby Boone	You Light Up My Life
11/19/77	Debby Boone	You Light Up My Life
11/12/77	Debby Boone	You Light Up My Life
11/5/77	Debby Boone	You Light Up My Life
10/29/77	Debby Boone	You Light Up My Life
10/22/77	Debby Boone	You Light Up My Life
10/15/77	Debby Boone	You Light Up My Life
10/8/77	Meco	Star Wars Theme/Cantina Band
10/1/77	Meco	Star Wars Theme/Cantina Band
9/24/77	The Emotions	Best Of My Love
9/17/77	Andy Gibb	I Just Want To Be Your Everything
9/10/77	The Emotions	Best Of My Love
9/3/77	The Emotions	Best Of My Love
8/27/77	The Emotions	Best Of My Love
8/20/77	The Emotions	Best Of My Love
8/13/77	Andy Gibb	I Just Want To Be Your Everything
8/6/77	Andy Gibb	I Just Want To Be Your Everything
7/30/77	Andy Gibb	I Just Want To Be Your Everything
7/23/77	Barry Manilow	Looks Like We Made It
7/16/77	Shaun Cassidy	Da Doo Ron Ron
7/9/77	Alan O'Day	Undercover Angel
7/2/77	Bill Conti	Gonna Fly Now
6/25/77	Marvin Gaye	Got To Give It Up (Pt. I)
6/18/77	Fleetwood Mac	Dreams
6/11/77	KC And The Sunshine Band	I'm Your Boogie Man
6/4/77	Stevie Wonder	Sir Duke
5/28/77	Stevie Wonder	Sir Duke
5/21/77	Stevie Wonder	Sir Duke
5/14/77	Leo Sayer	When I Need You
5/7/77	Eagles	Hotel California
4/30/77	Glen Campbell	Southern Nights
4/23/77	Thelma Houston	Don't Leave Me This Way
4/16/77	David Soul	Don't Give Up On Us
4/9/77	ABBA	Dancing Queen
4/2/77	Daryl Hall John Oates	Rich Girl
3/26/77	Daryl Hall John Oates	Rich Girl
3/19/77	Barbra Streisand	Evergreen (Love Theme From "A Star Is Born")
3/12/77	Barbra Streisand	Evergreen (Love Theme From "A Star Is Born")
3/5/77	Barbra Streisand	Evergreen (Love Theme From "A Star Is Born")
2/26/77	Eagles	New Kid In Town
2/19/77	Manfred Mann's Earth Band	Blinded By The Light
2/12/77	Mary Macgregor	Torn Between Two Lovers
2/5/77	Mary Macgregor	Torn Between Two Lovers
1/29/77	Rose Royce	Car Wash
1/22/77	Stevie Wonder	I Wish
1/15/77	Leo Sayer	You Make Me Feel Like Dancing
1/8/77	Marilyn McCoo & Billy Davis, Jr.	You Don't Have To Be A Star (To Be In My Show)
1/1/77	Rod Stewart	Tonight's The Night (Gonna Be Alright)
12/25/76	Rod Stewart	Tonight's The Night (Gonna Be Alright)
12/18/76	Rod Stewart	Tonight's The Night (Gonna Be Alright)
